poc_requirement_id,poc_section,source_framework,match_type,framework_clause,rationale,coder_id
1.2.1,C1.2,EU_AI_Act,PM,Art. 10,Art 10 data governance covers data provenance practices; no hash-linked custody chain to the action record,seed-01
1.2.1,C1.2,ISO_42001,PM,Annex A.7,Data management controls cover provenance and quality records; no hash-linked custody,seed-01
1.2.1,C1.2,MITRE_ATLAS,PM,Sanitize Training Data (AML.M0007),Data-provenance mitigations against poisoning; no custody chain to actions,seed-01
1.2.1,C1.2,NIST_AI_RMF,PM,MAP 2.3; MEASURE 2.8,MAP/MEASURE cover data documentation and lineage practices; no hash-linked custody chain,seed-01
1.2.1,C1.2,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.2.1,C1.2,OWASP_AISVS,PM,AISVS C1; C8,C1 training-data traceability and C8 memory provenance cover lineage; no custody chain to the action record,seed-01
1.2.1,C1.2,SOC_2,NM,—,Data lineage/custody chains not addressed,seed-01
1.2.2,C1.2,CSA_AARM,NM,—,Outside scope,seed-01
1.2.2,C1.2,EU_AI_Act,PM,Art. 10,Art 10 data governance covers data provenance practices; no hash-linked custody chain to the action record,seed-01
1.2.2,C1.2,ISO_42001,PM,Annex A.7,Data management controls cover provenance and quality records; no hash-linked custody,seed-01
1.2.2,C1.2,MITRE_ATLAS,PM,Sanitize Training Data (AML.M0007),Data-provenance mitigations against poisoning; no custody chain to actions,seed-01
1.2.2,C1.2,NIST_AI_RMF,PM,MAP 2.3; MEASURE 2.8,MAP/MEASURE cover data documentation and lineage practices; no hash-linked custody chain,seed-01
1.2.2,C1.2,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.2.2,C1.2,OWASP_AISVS,PM,AISVS C1; C8,C1 training-data traceability and C8 memory provenance cover lineage; no custody chain to the action record,seed-01
1.2.2,C1.2,SOC_2,NM,—,Data lineage/custody chains not addressed,seed-01
1.2.3,C1.2,CSA_AARM,NM,—,Outside scope,seed-01
1.2.3,C1.2,EU_AI_Act,PM,Art. 10,Art 10 data governance covers data provenance practices; no hash-linked custody chain to the action record,seed-01
1.2.3,C1.2,ISO_42001,PM,Annex A.7,Data management controls cover provenance and quality records; no hash-linked custody,seed-01
1.2.3,C1.2,MITRE_ATLAS,PM,Sanitize Training Data (AML.M0007),Data-provenance mitigations against poisoning; no custody chain to actions,seed-01
1.2.3,C1.2,NIST_AI_RMF,PM,MAP 2.3; MEASURE 2.8,MAP/MEASURE cover data documentation and lineage practices; no hash-linked custody chain,seed-01
1.2.3,C1.2,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.2.3,C1.2,OWASP_AISVS,PM,AISVS C1; C8,C1 training-data traceability and C8 memory provenance cover lineage; no custody chain to the action record,seed-01
1.2.3,C1.2,SOC_2,NM,—,Data lineage/custody chains not addressed,seed-01
1.2.4,C1.2,CSA_AARM,NM,—,Outside scope,seed-01
1.2.4,C1.2,EU_AI_Act,PM,Art. 10,Art 10 data governance covers data provenance practices; no hash-linked custody chain to the action record,seed-01
1.2.4,C1.2,ISO_42001,PM,Annex A.7,Data management controls cover provenance and quality records; no hash-linked custody,seed-01
1.2.4,C1.2,MITRE_ATLAS,PM,Sanitize Training Data (AML.M0007),Data-provenance mitigations against poisoning; no custody chain to actions,seed-01
1.2.4,C1.2,NIST_AI_RMF,PM,MAP 2.3; MEASURE 2.8,MAP/MEASURE cover data documentation and lineage practices; no hash-linked custody chain,seed-01
1.2.4,C1.2,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.2.4,C1.2,OWASP_AISVS,PM,AISVS C1; C8,C1 training-data traceability and C8 memory provenance cover lineage; no custody chain to the action record,seed-01
1.2.4,C1.2,SOC_2,NM,—,Data lineage/custody chains not addressed,seed-01
1.3.1,C1.3,CSA_AARM,NM,—,Outside scope,seed-01
1.3.1,C1.3,EU_AI_Act,NM,—,No provision on compute-substrate identification or attestation,seed-01
1.3.1,C1.3,ISO_42001,NM,—,Substrate attestation not addressed,seed-01
1.3.1,C1.3,MITRE_ATLAS,NM,—,Substrate attestation not addressed,seed-01
1.3.1,C1.3,NIST_AI_RMF,NM,—,Compute-substrate attestation not addressed,seed-01
1.3.1,C1.3,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.3.1,C1.3,OWASP_AISVS,NM,—,Substrate attestation not addressed,seed-01
1.3.1,C1.3,SOC_2,NM,—,Substrate attestation not addressed,seed-01
1.3.2,C1.3,CSA_AARM,NM,—,Outside scope,seed-01
1.3.2,C1.3,EU_AI_Act,NM,—,No provision on compute-substrate identification or attestation,seed-01
1.3.2,C1.3,ISO_42001,NM,—,Substrate attestation not addressed,seed-01
1.3.2,C1.3,MITRE_ATLAS,NM,—,Substrate attestation not addressed,seed-01
1.3.2,C1.3,NIST_AI_RMF,NM,—,Compute-substrate attestation not addressed,seed-01
1.3.2,C1.3,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.3.2,C1.3,OWASP_AISVS,NM,—,Substrate attestation not addressed,seed-01
1.3.2,C1.3,SOC_2,NM,—,Substrate attestation not addressed,seed-01
1.4.1,C1.4,CSA_AARM,NM,—,Outside scope,seed-01
1.4.1,C1.4,EU_AI_Act,NM,—,No provision on privacy-preserving provenance evidence,seed-01
1.4.1,C1.4,ISO_42001,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.1,C1.4,MITRE_ATLAS,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.1,C1.4,NIST_AI_RMF,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.1,C1.4,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.4.1,C1.4,OWASP_AISVS,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.1,C1.4,SOC_2,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.2,C1.4,CSA_AARM,NM,—,Outside scope,seed-01
1.4.2,C1.4,EU_AI_Act,NM,—,No provision on privacy-preserving provenance evidence,seed-01
1.4.2,C1.4,ISO_42001,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.2,C1.4,MITRE_ATLAS,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.2,C1.4,NIST_AI_RMF,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.2,C1.4,NIST_SP_800_207,NM,—,Outside scope,seed-01
1.4.2,C1.4,OWASP_AISVS,NM,—,Privacy-preserving provenance not addressed,seed-01
1.4.2,C1.4,SOC_2,NM,—,Privacy-preserving provenance not addressed,seed-01
2.1.1,C2.1,CSA_AARM,PM,Runtime gateway — data-action gating,Runtime gating of data-touching actions produces access records; operator-run audit trail,seed-01
2.1.1,C2.1,EU_AI_Act,PM,Art. 12,Art 12 automatic event recording covers data-access logging; used-vs-disclosed distinction and non-exposure of content not required,seed-01
2.1.1,C2.1,ISO_42001,PM,Annex A.7; Cl. 7.5,AIMS records and data management cover access documentation; no evidence-content constraints,seed-01
2.1.1,C2.1,MITRE_ATLAS,PM,AML.M0024 — AI Telemetry Logging,"ATLAS directs deployed AI systems to log data access, agentic intermediate actions and decisions, and tool use. It does not prescribe the Proof-of-Control field set, cryptographic evidence, or open verification.",codex-review-01
2.1.1,C2.1,NIST_AI_RMF,PM,MEASURE 2.10,MEASURE privacy risk and GOVERN accountability cover access recording; no used-vs-disclosed evidence model,seed-01
2.1.1,C2.1,NIST_SP_800_207,PM,PEP logging (§3),Policy enforcement point logging records resource access; no evidence-content model,seed-01
2.1.1,C2.1,OWASP_AISVS,PM,AISVS C5; C12,C5 access control and C12 monitoring cover access logging; no used-vs-disclosed evidence model,seed-01
2.1.1,C2.1,SOC_2,PM,CC6.1; P-series,CC6/CC7 access logging and privacy criteria cover access records; no used-vs-disclosed model,seed-01
2.1.2,C2.1,CSA_AARM,PM,Runtime gateway — data-action gating,Runtime gating of data-touching actions produces access records; operator-run audit trail,seed-01
2.1.2,C2.1,EU_AI_Act,PM,Art. 12,Art 12 automatic event recording covers data-access logging; used-vs-disclosed distinction and non-exposure of content not required,seed-01
2.1.2,C2.1,ISO_42001,PM,Annex A.7; Cl. 7.5,AIMS records and data management cover access documentation; no evidence-content constraints,seed-01
2.1.2,C2.1,MITRE_ATLAS,NM,—,Privacy evidence outside ATLAS scope,seed-01
2.1.2,C2.1,NIST_AI_RMF,PM,MEASURE 2.10,MEASURE privacy risk and GOVERN accountability cover access recording; no used-vs-disclosed evidence model,seed-01
2.1.2,C2.1,NIST_SP_800_207,PM,PEP logging (§3),Policy enforcement point logging records resource access; no evidence-content model,seed-01
2.1.2,C2.1,OWASP_AISVS,PM,AISVS C5; C12,C5 access control and C12 monitoring cover access logging; no used-vs-disclosed evidence model,seed-01
2.1.2,C2.1,SOC_2,PM,CC6.1; P-series,CC6/CC7 access logging and privacy criteria cover access records; no used-vs-disclosed model,seed-01
2.1.3,C2.1,CSA_AARM,PM,Runtime gateway — data-action gating,Runtime gating of data-touching actions produces access records; operator-run audit trail,seed-01
2.1.3,C2.1,EU_AI_Act,PM,Art. 12,Art 12 automatic event recording covers data-access logging; used-vs-disclosed distinction and non-exposure of content not required,seed-01
2.1.3,C2.1,ISO_42001,PM,Annex A.7; Cl. 7.5,AIMS records and data management cover access documentation; no evidence-content constraints,seed-01
2.1.3,C2.1,MITRE_ATLAS,PM,AML.M0024 — AI Telemetry Logging,"Logging AI inputs/outputs, data access, and tool use is relevant to distinguishing information used from information disclosed, but ATLAS does not require separate queryable fields or verifiable evidence.",codex-review-01
2.1.3,C2.1,NIST_AI_RMF,PM,MEASURE 2.10,MEASURE privacy risk and GOVERN accountability cover access recording; no used-vs-disclosed evidence model,seed-01
2.1.3,C2.1,NIST_SP_800_207,PM,PEP logging (§3),Policy enforcement point logging records resource access; no evidence-content model,seed-01
2.1.3,C2.1,OWASP_AISVS,PM,AISVS C5; C12,C5 access control and C12 monitoring cover access logging; no used-vs-disclosed evidence model,seed-01
2.1.3,C2.1,SOC_2,PM,CC6.1; P-series,CC6/CC7 access logging and privacy criteria cover access records; no used-vs-disclosed model,seed-01
2.2.1,C2.2,CSA_AARM,PM,Policy evaluation at the action boundary,Policy enforcement at the action boundary covers purpose/consent policy checks at runtime,seed-01
2.2.1,C2.2,EU_AI_Act,PM,Art. 10,Art 10 data governance plus GDPR interplay covers purpose/consent obligations; runtime enforcement evidence not required,seed-01
2.2.1,C2.2,ISO_42001,PM,Annex A.5; Annex A.7,Data management and impact-assessment controls cover purpose and consent obligations,seed-01
2.2.1,C2.2,MITRE_ATLAS,NM,—,Consent/purpose enforcement outside scope,seed-01
2.2.1,C2.2,NIST_AI_RMF,PM,GOVERN 1.1; MANAGE 1.3,GOVERN/MANAGE address privacy values and controls; runtime enforcement evidence not required,seed-01
2.2.1,C2.2,NIST_SP_800_207,PM,Policy Engine (§3),Policy engine evaluates per-request context including data policies,seed-01
2.2.1,C2.2,OWASP_AISVS,PM,AISVS C1,Data-governance requirements touch consent and minimization; runtime enforcement evidence not central,seed-01
2.2.1,C2.2,SOC_2,PM,P2.1; P4.1,"Privacy criteria P-series require consent, purpose limitation and retention controls at the organizational level",seed-01
2.2.2,C2.2,CSA_AARM,PM,Policy evaluation at the action boundary,Policy enforcement at the action boundary covers purpose/consent policy checks at runtime,seed-01
2.2.2,C2.2,EU_AI_Act,PM,Art. 10,Art 10 data governance plus GDPR interplay covers purpose/consent obligations; runtime enforcement evidence not required,seed-01
2.2.2,C2.2,ISO_42001,PM,Annex A.5; Annex A.7,Data management and impact-assessment controls cover purpose and consent obligations,seed-01
2.2.2,C2.2,MITRE_ATLAS,NM,—,Consent/purpose enforcement outside scope,seed-01
2.2.2,C2.2,NIST_AI_RMF,PM,GOVERN 1.1; MANAGE 1.3,GOVERN/MANAGE address privacy values and controls; runtime enforcement evidence not required,seed-01
2.2.2,C2.2,NIST_SP_800_207,PM,Policy Engine (§3),Policy engine evaluates per-request context including data policies,seed-01
2.2.2,C2.2,OWASP_AISVS,PM,AISVS C1,Data-governance requirements touch consent and minimization; runtime enforcement evidence not central,seed-01
2.2.2,C2.2,SOC_2,PM,P2.1; P4.1,"Privacy criteria P-series require consent, purpose limitation and retention controls at the organizational level",seed-01
2.2.3,C2.2,CSA_AARM,PM,Policy evaluation at the action boundary,Policy enforcement at the action boundary covers purpose/consent policy checks at runtime,seed-01
2.2.3,C2.2,EU_AI_Act,PM,Art. 10,Art 10 data governance plus GDPR interplay covers purpose/consent obligations; runtime enforcement evidence not required,seed-01
2.2.3,C2.2,ISO_42001,PM,Annex A.5; Annex A.7,Data management and impact-assessment controls cover purpose and consent obligations,seed-01
2.2.3,C2.2,MITRE_ATLAS,PM,AML.M0026 — Privileged AI Agent Permissions Configuration; AML.M0028 — AI Agent Tools Permissions Configuration,"These mitigations require least-privilege controls on an agent and on its tool access. They do not require query rewriting/field allow-lists, enforcement-event records, or the grade of evidence Proof-of-Control requires.",codex-review-01
2.2.3,C2.2,NIST_AI_RMF,PM,GOVERN 1.1; MANAGE 1.3,GOVERN/MANAGE address privacy values and controls; runtime enforcement evidence not required,seed-01
2.2.3,C2.2,NIST_SP_800_207,PM,Policy Engine (§3),Policy engine evaluates per-request context including data policies,seed-01
2.2.3,C2.2,OWASP_AISVS,PM,AISVS C1,Data-governance requirements touch consent and minimization; runtime enforcement evidence not central,seed-01
2.2.3,C2.2,SOC_2,PM,P2.1; P4.1,"Privacy criteria P-series require consent, purpose limitation and retention controls at the organizational level",seed-01
2.2.4,C2.2,CSA_AARM,PM,Policy evaluation at the action boundary,Policy enforcement at the action boundary covers purpose/consent policy checks at runtime,seed-01
2.2.4,C2.2,EU_AI_Act,PM,Art. 10,Art 10 data governance plus GDPR interplay covers purpose/consent obligations; runtime enforcement evidence not required,seed-01
2.2.4,C2.2,ISO_42001,PM,Annex A.5; Annex A.7,Data management and impact-assessment controls cover purpose and consent obligations,seed-01
2.2.4,C2.2,MITRE_ATLAS,NM,—,Consent/purpose enforcement outside scope,seed-01
2.2.4,C2.2,NIST_AI_RMF,PM,GOVERN 1.1; MANAGE 1.3,GOVERN/MANAGE address privacy values and controls; runtime enforcement evidence not required,seed-01
2.2.4,C2.2,NIST_SP_800_207,PM,Policy Engine (§3),Policy engine evaluates per-request context including data policies,seed-01
2.2.4,C2.2,OWASP_AISVS,PM,AISVS C1,Data-governance requirements touch consent and minimization; runtime enforcement evidence not central,seed-01
2.2.4,C2.2,SOC_2,PM,P2.1; P4.1,"Privacy criteria P-series require consent, purpose limitation and retention controls at the organizational level",seed-01
2.2.5,C2.2,CSA_AARM,PM,Policy evaluation at the action boundary,Policy enforcement at the action boundary covers purpose/consent policy checks at runtime,seed-01
2.2.5,C2.2,EU_AI_Act,PM,Art. 10,Art 10 data governance plus GDPR interplay covers purpose/consent obligations; runtime enforcement evidence not required,seed-01
2.2.5,C2.2,ISO_42001,PM,Annex A.5; Annex A.7,Data management and impact-assessment controls cover purpose and consent obligations,seed-01
2.2.5,C2.2,MITRE_ATLAS,NM,—,Consent/purpose enforcement outside scope,seed-01
2.2.5,C2.2,NIST_AI_RMF,PM,GOVERN 1.1; MANAGE 1.3,GOVERN/MANAGE address privacy values and controls; runtime enforcement evidence not required,seed-01
2.2.5,C2.2,NIST_SP_800_207,PM,Policy Engine (§3),Policy engine evaluates per-request context including data policies,seed-01
2.2.5,C2.2,OWASP_AISVS,PM,AISVS C1,Data-governance requirements touch consent and minimization; runtime enforcement evidence not central,seed-01
2.2.5,C2.2,SOC_2,PM,P2.1; P4.1,"Privacy criteria P-series require consent, purpose limitation and retention controls at the organizational level",seed-01
2.3.1,C2.3,CSA_AARM,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.1,C2.3,EU_AI_Act,NM,—,"No provision on ZK proofs, selective disclosure, or commitments",seed-01
2.3.1,C2.3,ISO_42001,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.1,C2.3,MITRE_ATLAS,NM,—,Outside scope,seed-01
2.3.1,C2.3,NIST_AI_RMF,PM,MEASURE 2.10,RMF profiles reference privacy-enhancing technologies; no verifiable-evidence requirement,seed-01
2.3.1,C2.3,NIST_SP_800_207,NM,—,Not addressed,seed-01
2.3.1,C2.3,OWASP_AISVS,NM,—,ZK/selective-disclosure mechanisms not addressed,seed-01
2.3.1,C2.3,SOC_2,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.2,C2.3,CSA_AARM,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.2,C2.3,EU_AI_Act,NM,—,"No provision on ZK proofs, selective disclosure, or commitments",seed-01
2.3.2,C2.3,ISO_42001,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.2,C2.3,MITRE_ATLAS,NM,—,Outside scope,seed-01
2.3.2,C2.3,NIST_AI_RMF,PM,MEASURE 2.10,RMF profiles reference privacy-enhancing technologies; no verifiable-evidence requirement,seed-01
2.3.2,C2.3,NIST_SP_800_207,NM,—,Not addressed,seed-01
2.3.2,C2.3,OWASP_AISVS,NM,—,ZK/selective-disclosure mechanisms not addressed,seed-01
2.3.2,C2.3,SOC_2,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.3,C2.3,CSA_AARM,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.3,C2.3,EU_AI_Act,NM,—,"No provision on ZK proofs, selective disclosure, or commitments",seed-01
2.3.3,C2.3,ISO_42001,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.3.3,C2.3,MITRE_ATLAS,NM,—,Outside scope,seed-01
2.3.3,C2.3,NIST_AI_RMF,PM,MEASURE 2.10,RMF profiles reference privacy-enhancing technologies; no verifiable-evidence requirement,seed-01
2.3.3,C2.3,NIST_SP_800_207,NM,—,Not addressed,seed-01
2.3.3,C2.3,OWASP_AISVS,NM,—,ZK/selective-disclosure mechanisms not addressed,seed-01
2.3.3,C2.3,SOC_2,NM,—,Cryptographic privacy mechanisms not addressed,seed-01
2.4.1,C2.4,CSA_AARM,NM,—,Evidence-store handling not addressed,seed-01
2.4.1,C2.4,EU_AI_Act,NM,—,No provision reconciling erasure obligations with tamper-evident records,seed-01
2.4.1,C2.4,ISO_42001,NM,—,Erasure-vs-immutability reconciliation not addressed,seed-01
2.4.1,C2.4,MITRE_ATLAS,NM,—,Outside scope,seed-01
2.4.1,C2.4,NIST_AI_RMF,NM,—,Evidence-store handling of protected data not addressed,seed-01
2.4.1,C2.4,NIST_SP_800_207,NM,—,Not addressed,seed-01
2.4.1,C2.4,OWASP_AISVS,NM,—,Evidence-store minimization not addressed,seed-01
2.4.1,C2.4,SOC_2,PM,P4.2–P4.3,P4 disposal and retention criteria address deletion; no reconciliation with tamper-evident chains,seed-01
2.4.2,C2.4,CSA_AARM,NM,—,Evidence-store handling not addressed,seed-01
2.4.2,C2.4,EU_AI_Act,NM,—,No provision reconciling erasure obligations with tamper-evident records,seed-01
2.4.2,C2.4,ISO_42001,NM,—,Erasure-vs-immutability reconciliation not addressed,seed-01
2.4.2,C2.4,MITRE_ATLAS,NM,—,Outside scope,seed-01
2.4.2,C2.4,NIST_AI_RMF,NM,—,Evidence-store handling of protected data not addressed,seed-01
2.4.2,C2.4,NIST_SP_800_207,NM,—,Not addressed,seed-01
2.4.2,C2.4,OWASP_AISVS,NM,—,Evidence-store minimization not addressed,seed-01
2.4.2,C2.4,SOC_2,PM,P4.2–P4.3,P4 disposal and retention criteria address deletion; no reconciliation with tamper-evident chains,seed-01
3.1.1,C3.1,CSA_AARM,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.1,C3.1,EU_AI_Act,NM,—,No boundary-crossing evidence provision,seed-01
3.1.1,C3.1,ISO_42001,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.1,C3.1,MITRE_ATLAS,NM,—,Outside scope,seed-01
3.1.1,C3.1,NIST_AI_RMF,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.1,C3.1,NIST_SP_800_207,PM,Tenets 2–3 (§2.1),"No implicit trust across boundaries; every crossing is re-evaluated, though not evidenced for third parties",seed-01
3.1.1,C3.1,OWASP_AISVS,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.1,C3.1,SOC_2,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.2,C3.1,CSA_AARM,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.2,C3.1,EU_AI_Act,NM,—,No boundary-crossing evidence provision,seed-01
3.1.2,C3.1,ISO_42001,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.2,C3.1,MITRE_ATLAS,NM,—,Outside scope,seed-01
3.1.2,C3.1,NIST_AI_RMF,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.2,C3.1,NIST_SP_800_207,PM,Tenets 2–3 (§2.1),"No implicit trust across boundaries; every crossing is re-evaluated, though not evidenced for third parties",seed-01
3.1.2,C3.1,OWASP_AISVS,NM,—,Boundary-crossing evidence not addressed,seed-01
3.1.2,C3.1,SOC_2,NM,—,Boundary-crossing evidence not addressed,seed-01
3.2.1,C3.2,CSA_AARM,NM,—,Not addressed,seed-01
3.2.1,C3.2,EU_AI_Act,NM,—,No cross-environment evidence-continuity provision,seed-01
3.2.1,C3.2,ISO_42001,NM,—,Evidence continuity not addressed,seed-01
3.2.1,C3.2,MITRE_ATLAS,NM,—,Outside scope,seed-01
3.2.1,C3.2,NIST_AI_RMF,NM,—,Evidence continuity across environments not addressed,seed-01
3.2.1,C3.2,NIST_SP_800_207,NM,—,Evidence continuity not addressed,seed-01
3.2.1,C3.2,OWASP_AISVS,NM,—,Evidence continuity not addressed,seed-01
3.2.1,C3.2,SOC_2,NM,—,Evidence continuity not addressed,seed-01
3.2.2,C3.2,CSA_AARM,NM,—,Not addressed,seed-01
3.2.2,C3.2,EU_AI_Act,NM,—,No cross-environment evidence-continuity provision,seed-01
3.2.2,C3.2,ISO_42001,NM,—,Evidence continuity not addressed,seed-01
3.2.2,C3.2,MITRE_ATLAS,NM,—,Outside scope,seed-01
3.2.2,C3.2,NIST_AI_RMF,NM,—,Evidence continuity across environments not addressed,seed-01
3.2.2,C3.2,NIST_SP_800_207,NM,—,Evidence continuity not addressed,seed-01
3.2.2,C3.2,OWASP_AISVS,NM,—,Evidence continuity not addressed,seed-01
3.2.2,C3.2,SOC_2,NM,—,Evidence continuity not addressed,seed-01
